,title,genres,averagerating,numvotes,primary_name,status,category,production_budget,domestic_gross,worldwide_gross,month,year,foreign_gross
0,#Horror,"Crime,Drama,Horror",3.0,3092,Tara Subkoff,Working,director,1500000,0,0,Nov,2015,0
1,#Horror,"Crime,Drama,Horror",3.0,3092,Brendan Walsh,Working,producer,1500000,0,0,Nov,2015,0
2,#Horror,"Crime,Drama,Horror",3.0,3092,Oren Segal,Working,producer,1500000,0,0,Nov,2015,0
3,#Horror,"Crime,Drama,Horror",3.0,3092,Haley Murphy,Working,actress,1500000,0,0,Nov,2015,0
4,#Horror,"Crime,Drama,Horror",3.0,3092,Jason Ludman,Working,producer,1500000,0,0,Nov,2015,0
5,#Horror,"Crime,Drama,Horror",3.0,3092,Bridget McGarry,Working,actress,1500000,0,0,Nov,2015,0
6,#Horror,"Crime,Drama,Horror",3.0,3092,Sadie Seelert,Working,actress,1500000,0,0,Nov,2015,0
7,#Horror,"Crime,Drama,Horror",3.0,3092,Blue Lindeberg,Working,actress,1500000,0,0,Nov,2015,0
8,#Horror,"Crime,Drama,Horror",3.0,3092,Erika M. Anderson,Working,composer,1500000,0,0,Nov,2015,0
9,#Horror,"Crime,Drama,Horror",3.0,3092,Leif Shackelford,Working,composer,1500000,0,0,Nov,2015,0
10,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,260383,John Goodman,Working,actor,5000000,72082999,108286422,Mar,2016,36203423
11,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,260383,J.J. Abrams,Working,producer,5000000,72082999,108286422,Mar,2016,36203423
12,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,260383,John Gallagher Jr.,Working,actor,5000000,72082999,108286422,Mar,2016,36203423
13,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,260383,Douglas M. Griffin,Working,actor,5000000,72082999,108286422,Mar,2016,36203423
14,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,260383,Dan Trachtenberg,Working,director,5000000,72082999,108286422,Mar,2016,36203423
15,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,260383,Mary Elizabeth Winstead,Working,actress,5000000,72082999,108286422,Mar,2016,36203423
16,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,260383,Josh Campbell,Working,writer,5000000,72082999,108286422,Mar,2016,36203423
17,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,260383,Matthew Stuecken,Working,writer,5000000,72082999,108286422,Mar,2016,36203423
18,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,260383,Damien Chazelle,Working,writer,5000000,72082999,108286422,Mar,2016,36203423
19,10 Cloverfield Lane,"Drama,Horror,Mystery",7.2,260383,Lindsey Weber,Working,producer,5000000,72082999,108286422,Mar,2016,36203423
20,10 Days in a Madhouse,Drama,6.7,1114,Christopher Lambert,Working,actor,12000000,14616,14616,Nov,2015,0
21,10 Days in a Madhouse,Drama,6.7,1114,Kelly LeBrock,Working,actress,12000000,14616,14616,Nov,2015,0
22,10 Days in a Madhouse,Drama,6.7,1114,Julia Chantrey,Working,actress,12000000,14616,14616,Nov,2015,0
23,10 Days in a Madhouse,Drama,6.7,1114,Timothy Hines,Working,director,12000000,14616,14616,Nov,2015,0
24,10 Days in a Madhouse,Drama,6.7,1114,Martin Wiley,Working,producer,12000000,14616,14616,Nov,2015,0
25,10 Days in a Madhouse,Drama,6.7,1114,Susan Goforth,Working,producer,12000000,14616,14616,Nov,2015,0
26,10 Days in a Madhouse,Drama,6.7,1114,Jamie Hall,Working,composer,12000000,14616,14616,Nov,2015,0
27,10 Days in a Madhouse,Drama,6.7,1114,Andrew Malcolm,Working,producer,12000000,14616,14616,Nov,2015,0
28,10 Days in a Madhouse,Drama,6.7,1114,Caroline Barry,Working,actress,12000000,14616,14616,Nov,2015,0
29,10 Days in a Madhouse,Drama,6.7,1114,Aaron R.F. Anderson,Working,cinematographer,12000000,14616,14616,Nov,2015,0
30,12 Rounds,"Action,Drama,Romance",8.1,11,Aram Diaz,Working,cinematographer,20000000,12234694,17306648,Mar,2009,5071954
31,12 Rounds,"Action,Drama,Romance",8.1,11,Gabriel Soriano,Working,director,20000000,12234694,17306648,Mar,2009,5071954
32,12 Rounds,"Action,Drama,Romance",8.1,11,Mauricio Fernandez,Working,actor,20000000,12234694,17306648,Mar,2009,5071954
33,12 Rounds,"Action,Drama,Romance",8.1,11,Eduardo España,Working,actor,20000000,12234694,17306648,Mar,2009,5071954
34,12 Rounds,"Action,Drama,Romance",8.1,11,Juan Manuel Figueroa,Working,editor,20000000,12234694,17306648,Mar,2009,5071954
35,12 Rounds,"Action,Drama,Romance",8.1,11,Mario Osuna,Working,composer,20000000,12234694,17306648,Mar,2009,5071954
36,12 Rounds,"Action,Drama,Romance",8.1,11,Elsa Marquez,Working,actress,20000000,12234694,17306648,Mar,2009,5071954
37,12 Rounds,"Action,Drama,Romance",8.1,11,June Mock,Working,actor,20000000,12234694,17306648,Mar,2009,5071954
38,12 Rounds,"Action,Drama,Romance",8.1,11,Cassandra Salazar,Working,producer,20000000,12234694,17306648,Mar,2009,5071954
39,12 Strong,"Action,Drama,History",6.6,50155,Jerry Bruckheimer,Working,producer,35000000,45819713,71118378,Jan,2018,25298665
40,12 Strong,"Action,Drama,History",6.6,50155,Peter Craig,Working,writer,35000000,45819713,71118378,Jan,2018,25298665
41,12 Strong,"Action,Drama,History",6.6,50155,Thad Luckinbill,Working,producer,35000000,45819713,71118378,Jan,2018,25298665
42,12 Strong,"Action,Drama,History",6.6,50155,Michael Peña,Working,actor,35000000,45819713,71118378,Jan,2018,25298665
43,12 Strong,"Action,Drama,History",6.6,50155,Michael Shannon,Working,actor,35000000,45819713,71118378,Jan,2018,25298665
44,12 Strong,"Action,Drama,History",6.6,50155,Ted Tally,Working,writer,35000000,45819713,71118378,Jan,2018,25298665
45,12 Strong,"Action,Drama,History",6.6,50155,Navid Negahban,Working,actor,35000000,45819713,71118378,Jan,2018,25298665
46,12 Strong,"Action,Drama,History",6.6,50155,Chris Hemsworth,Working,actor,35000000,45819713,71118378,Jan,2018,25298665
